,precision,recall,f1-score,support
adult,0.8384615384615385,0.7785714285714286,0.8074074074074075,140.0
baby,0.881578947368421,0.8072289156626506,0.8427672955974843,83.0
ball,0.8076923076923077,0.6774193548387096,0.7368421052631579,62.0
bird,0.6832298136645962,0.9016393442622951,0.7773851590106007,122.0
car,0.9240506329113924,0.8795180722891566,0.9012345679012346,83.0
cat,0.7457627118644068,0.7213114754098361,0.7333333333333333,122.0
dog,0.7076923076923077,0.6865671641791045,0.696969696969697,134.0
accuracy,0.7788203753351206,0.7788203753351206,0.7788203753351206,0.7788203753351206
macro avg,0.7983526085221385,0.7788936793161687,0.7851342236404166,746.0
weighted avg,0.7861885401743572,0.7788203753351206,0.7790549566938951,746.0
