,precision,recall,f1-score,support
climbing,0.8032786885245902,0.5975609756097561,0.6853146853146853,82.0
crawling,0.5652173913043478,0.639344262295082,0.6,61.0
eating,0.821917808219178,0.7317073170731707,0.7741935483870968,82.0
flying,0.625,0.6451612903225806,0.6349206349206349,62.0
jumping,0.6116504854368932,0.5121951219512195,0.5575221238938053,123.0
rolling,0.6909090909090909,0.5352112676056338,0.6031746031746031,142.0
running,0.5,0.525,0.5121951219512195,80.0
walking,0.45054945054945056,0.7192982456140351,0.5540540540540541,114.0
accuracy,0.6045576407506702,0.6045576407506702,0.6045576407506702,0.6045576407506702
macro avg,0.6335653643679439,0.6131848100589348,0.6151718464620124,746.0
weighted avg,0.631634197832467,0.6045576407506702,0.6085905379847412,746.0
